date,close,volume,open,high,low
11:34,270.49,"47,87,699",264.5,273.88,262.24
15-10-2018,259.59,6189026,259.06,263.28,254.5367
12-10-2018,258.78,7189257,261,261.99,252.01
11-10-2018,252.23,8128184,257.53,262.25,249.03
10-10-2018,256.88,12781560,264.61,265.51,247.77
09-10-2018,262.8,12037780,255.25,266.77,253.3
08-10-2018,250.56,13371180,264.52,267.7599,249
05-10-2018,261.95,17900710,274.65,274.88,260
04-10-2018,281.83,9638885,293.95,294,277.67
03-10-2018,294.8,7982272,303.33,304.6,291.57
02-10-2018,301.02,11699690,313.95,316.84,299.15
01-10-2018,310.7,21714210,305.77,311.44,301.05
28-09-2018,264.77,33597290,270.26,278,260.555
27-09-2018,307.52,7337760,312.9,314.96,306.91
26-09-2018,309.58,7835863,301.91,313.89,301.1093
25-09-2018,300.99,4472287,300,304.6,296.5
24-09-2018,299.68,4834384,298.48,302.9993,293.58
21-09-2018,299.1,5038497,297.7,300.58,295.37
20-09-2018,298.33,7332477,303.56,305.98,293.33
19-09-2018,299.02,8264353,280.51,300,280.5
18-09-2018,284.96,16494280,296.69,302.64,275.5
17-09-2018,294.84,6866208,290.04,300.87,288.13
14-09-2018,295.2,6757652,288.76,297.3256,286.52
13-09-2018,289.46,6333281,288.02,295,285.18
12-09-2018,290.54,10002150,281.44,292.5,278.6463
11-09-2018,279.44,9161061,279.47,282,273.55
10-09-2018,285.5,14232250,273.26,286.03,271
07-09-2018,263.24,22442310,260.1,268.35,252.2548
06-09-2018,280.95,7472756,284.8,291.17,278.88
05-09-2018,280.74,7707342,285.05,286.78,277.18
04-09-2018,288.95,8304571,296.94,298.19,288
31-08-2018,301.66,5367048,302,305.3082,298.6
30-08-2018,303.15,7210625,302.26,304.6,297.72
29-08-2018,305.01,7410538,310.27,311.85,303.69
28-08-2018,311.86,7639453,318.41,318.88,311.19
27-08-2018,319.27,13062650,318,322.435,308.81
24-08-2018,322.82,3592734,320.7,323.85,319.4
23-08-2018,320.1,5138685,319.14,327.32,318.1
22-08-2018,321.64,5935853,320.87,323.88,314.67
21-08-2018,321.9,13147770,310.61,324.79,309
20-08-2018,308.44,17380430,291.704,308.5,288.2
17-08-2018,305.5,18895880,323.5,326.77,303.53
16-08-2018,335.45,6045392,339.91,342.28,333.82
15-08-2018,338.69,9073033,341.906,344.49,332.14
14-08-2018,347.64,6948511,358.45,359.1995,347.1
13-08-2018,356.41,10444920,361.13,363.19,349.02
10-08-2018,355.49,11530510,354,360,346
09-08-2018,352.45,16951800,365.55,367.01,345.73
08-08-2018,370.34,24535420,369.09,382.64,367.12
07-08-2018,379.57,30596400,343.84,387.46,339.1501
06-08-2018,341.99,8536766,345.46,354.98,341.82
03-08-2018,348.17,13646640,347.81,355,342.53
02-08-2018,349.54,23159160,328.44,349.99,323.16
01-08-2018,300.84,8768099,297.99,303,293
31-07-2018,298.14,5055094,292.25,298.32,289.07
30-07-2018,290.17,6799581,295.9,296.1,286.13
27-07-2018,297.18,5694690,307.25,307.6933,295.3404
26-07-2018,306.65,4619567,304.85,310.7,303.6411
25-07-2018,308.74,7031382,296.74,309.62,294.5025
24-07-2018,297.43,9586186,304.4209,307.7171,292.5452
23-07-2018,303.2,10974820,301.84,305.5,292.8601
20-07-2018,313.58,5159831,321.23,323.24,311.7093
19-07-2018,320.23,5907116,316.33,323.54,314.01
18-07-2018,323.85,5610085,325,325.5,316.25
17-07-2018,322.69,6987782,308.81,324.74,308.5
16-07-2018,310.1,7800454,311.71,315.16,306.25
13-07-2018,318.87,5866776,315.58,319.5849,309.25
12-07-2018,316.71,5711851,321.43,323.23,312.77
11-07-2018,318.96,4878595,315.8,321.94,315.07
10-07-2018,322.47,9437557,324.56,327.6771,319.2
09-07-2018,318.51,7579541,311.99,318.52,308
06-07-2018,308.9,8860198,304.955,312.07,302
05-07-2018,309.16,17457570,313.76,314.39,296.22
03-07-2018,310.86,12282640,331.75,332.49,309.69
02-07-2018,335.07,18732710,360.07,364.78,329.85
29-06-2018,342.95,6475903,353.33,353.86,342.41
28-06-2018,349.93,8388172,348.66,357.02,346.11
27-06-2018,344.5,8313817,345,350.79,339.5
26-06-2018,342,7434749,336.054,343.55,325.799
25-06-2018,333.01,6925089,330.12,338.47,327.5
22-06-2018,333.63,10253770,351.54,352.25,332
21-06-2018,347.51,7949846,362,366.2139,346.27
20-06-2018,362.22,8370268,358.04,364.38,352
19-06-2018,352.55,12734840,365.16,370,346.25
18-06-2018,370.83,12025450,355.4,373.73,354.5
15-06-2018,358.17,10827560,353.84,364.67,351.25
14-06-2018,357.72,10961150,347.63,358.75,346.6
13-06-2018,344.78,9401467,346.706,347.2,339.8
12-06-2018,342.77,22256430,344.7,354.97,338
11-06-2018,332.1,13166050,322.51,334.66,322.5
08-06-2018,317.66,8192175,319,324.48,317.15
07-06-2018,316.09,14336110,316.15,330,313.58
06-06-2018,319.5,18742400,300.5,322.17,297.48
05-06-2018,291.13,5877873,297.7,297.8,286.74
04-06-2018,296.74,4793787,294.34,299,293.548
01-06-2018,291.82,5417984,285.86,291.95,283.839
31-05-2018,284.73,5912825,287.21,290.37,282.93
30-05-2018,291.72,7473590,283.29,295.005,281.6
29-05-2018,283.76,5657153,278.51,286.5,276.15
25-05-2018,278.85,3872621,277.625,279.64,275.61
24-05-2018,277.85,4170789,278.4,281.11,274.89
23-05-2018,279.07,5972237,277.76,279.9099,274
22-05-2018,275.01,8938501,287.762,288,273.422
21-05-2018,284.49,9167844,281.33,291.49,281.3
18-05-2018,276.82,7243699,284.65,284.65,274
17-05-2018,284.54,4418258,285.9,289.1873,283.97
16-05-2018,286.48,5669644,283.83,288.81,281.56
15-05-2018,284.18,9509753,285.01,286.96,280.5
14-05-2018,291.97,7265501,303.32,304.94,291.62
